,title,track,categories,url
0,Translations as Additional Contexts for Sentence Classification,Main,"['NLP Applications and Tools', 'Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2018/550
1,Empirical Analysis of Foundational Distinctions in Linked Open Data,Main,['Knowledge Extraction'],https://www.ijcai.org/proceedings/2018/551
2,"Think Globally, Embed Locally --- Locally Linear Meta-embedding of Words",Main,"['Natural Language Semantics', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2018/552
3,An Encoder-Decoder Framework Translating Natural Language to Database Queries,Main,['NLP Applications and Tools'],https://www.ijcai.org/proceedings/2018/553
4,Medical Concept Embedding with Time-Aware Attention,Main,['Embeddings'],https://www.ijcai.org/proceedings/2018/554
5,Point Set Registration for Unsupervised Bilingual Lexicon Induction,Main,"['Machine Translation', 'Embeddings']",https://www.ijcai.org/proceedings/2018/555
6,Co-training Embeddings of Knowledge Graphs and Entity Descriptions for Cross-lingual Entity Alignment,Main,['Embeddings'],https://www.ijcai.org/proceedings/2018/556
7,TreeNet: Learning Sentence Representations with Unconstrained Tree Structure,Main,"['Natural Language Semantics', 'Natural Language Processing', 'Text Classification']",https://www.ijcai.org/proceedings/2018/557
8,Adversarial Active  Learning for Sequences Labeling and Generation,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2018/558
9,Submodularity-Inspired Data Selection for Goal-Oriented Chatbot Training Based on Sentence Embeddings ,Main,"['Natural Language Processing', 'NLP Applications and Tools', 'Tagging, chunking, and parsing', 'Embeddings']",https://www.ijcai.org/proceedings/2018/559
10,Domain Adaptation via Tree Kernel Based Maximum Mean Discrepancy for User Consumption Intention Identification,Main,"['Information Extraction', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2018/560
11,Attention-Fused Deep Matching Network for Natural Language Inference,Main,"['Natural Language Semantics', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2018/561
12,A Deep Modular RNN Approach for Ethos Mining,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2018/562
